Expenditure category,Expenditure category,Expenditure category,Expenditure category,Expenditure category,2020-03,2020-03
,,,Percent change,Percent change,,
,,,,,,
0,All items,100,-0.6,1.5,258.115,257.953
1,Food,13.788,0.2,2,262.708,262.588
2,Food at home,7.601,–,1.2,245.163,244.96
3,Cereals and bakery products,0.983,-0.4,-0.2,277.646,277.05
4,Cereals and cereal products,0.301,1.4,-1.2,228.033,228.047
5,Flour and prepared flour mixes,0.042,1.1,–,235.939,234.969
5,Breakfast cereal(4),0.137,2.4,-0.1,221.578,221.578
5,"Rice, pasta, cornmeal(4)",0.123,-1.8,-2,238.912,238.912
6,Rice(4)(5)(6),,-2.1,-2.9,159.431,159.431
5,Bakery products(4),0.682,0.1,1.5,306.338,306.338
6,Bread(4)(5),0.195,-0.8,3.8,187.308,187.308
7,White bread(4)(6),,–,4.6,343.249,343.249
7,Bread other than white(4)(6),,-1,0.6,361.991,361.991
6,"Fresh biscuits, rolls, muffins(5)",0.098,-1.1,-2,179.659,178.327
6,"Cakes, cupcakes, and cookies",0.174,2.3,1,292.379,291.914
7,Cookies(4)(6),,3.7,1.5,272.291,272.291
7,Fresh cakes and cupcakes(4)(6),,1.2,-1.8,316.188,316.188
6,Other bakery products,0.214,-1.8,-0.5,269.163,269.47
7,"Fresh sweetrolls, coffeecakes, doughnuts(4)(6)",,-2.7,-2.1,306.855,306.855
7,"Crackers, bread, and cracker products(6)",,-3.1,2.3,308.985,309.223
7,"Frozen and refrigerated bakery products, pies, tarts, turnovers(6)",,-1.9,-1.3,267.546,267.372
3,"Meats, poultry, fish, and eggs",1.675,0,2.3,254.724,254.64
4,"Meats, poultry, and fish",1.576,-0.4,2.6,257.912,258.251
5,Meats,0.989,-0.7,2.5,261.489,261.601
6,Beef and veal,0.451,–,2.6,316.27,316.495
7,Uncooked ground beef(4),0.166,1.8,9.4,280.336,280.336
7,Uncooked beef roasts(4)(5),0.07,-0.7,3.1,241.647,241.647
7,Uncooked beef steaks(5),0.174,-1.5,1.8,211.594,212.337
7,Uncooked other beef and veal(4)(5),0.041,-1,1.8,251.51,251.51
6,Pork,0.313,-1.8,3.2,217.168,218.457
7,"Bacon, breakfast sausage, and related products(5)",0.129,-2.7,1.2,161.539,161.668
8,Bacon and related products(6),,-4.7,-1.9,296.226,297.234
8,Breakfast sausage and related products(5)(6),,4.6,7.3,151.891,152.224
7,Ham,0.065,-1.1,4.6,219.842,220.41
8,"Ham, excluding canned(6)",,-1.1,4.3,244.469,244.589
7,Pork chops(4),0.048,-1.7,1.8,190.618,190.618
7,"Other pork including roasts, steaks, and ribs(5)",0.071,-2.4,1.6,127.032,128.046
6,Other meats,0.225,–,2.5,228.971,227.185
7,Frankfurters(6),,4.8,4.2,241.603,235.295
7,Lunchmeats(5)(6),,0.9,2.9,146.05,145.743
7,Lamb and organ meats(4)(6),,,,,
7,Lamb and mutton(4)(5)(6),,,,,
6,Poultry(4),0.319,1.7,2.5,235.803,235.803
7,Chicken(4)(5),0.259,1.8,1.4,151.403,151.403
8,Fresh whole chicken(4)(6),,3.3,2.2,249.805,249.805
8,Fresh and frozen chicken parts(4)(6),,1.2,1.3,225.667,225.667
7,Other uncooked poultry including turkey(5),0.06,0.1,8.2,155.139,155.099
6,Fish and seafood,0.267,-0.6,–,297.55,299.4
7,Fresh fish and seafood(5),0.136,-0.6,1.4,189.458,188.744
7,Processed fish and seafood(5),0.131,–,-1.9,144.951,147.69
8,Shelf stable fish and seafood(4)(6),,0.7,1.3,211.27,211.27
8,Frozen fish and seafood(6),,-2.2,-3.5,297.425,303.056
5,Eggs,0.099,6,3.6,212.876,207.307
3,Dairy and related products,0.772,0.2,3.8,225.627,225.347
4,Milk(5),0.209,2.1,3.9,146.295,146.25
5,Fresh whole milk(6),,0,4.4,208.402,208.313
5,Fresh milk other than whole(5)(6),,2.1,3.8,150.732,150.458
4,Cheese and related products(4),0.261,-0.2,3.5,236.61,236.61
4,Ice cream and related products,0.108,2.4,2.7,228.986,226.344
4,Other dairy and related products(4)(5),0.194,0.2,1.6,151.2,151.2
3,Fruits and vegetables,1.321,1.1,-4.7,299.641,300.102
4,Fresh fruits and vegetables,1.04,1,-5.7,346.823,347.321
5,Fresh fruits,0.53,1.3,-2.4,352.394,353.831
6,Apples,0.074,-2.1,-9.7,310.774,313.666
6,Bananas(4),0.077,0.8,-1.6,195.553,195.553
6,Citrus fruits(5),0.128,-0.2,-9.7,232.223,243.814
7,"Oranges, including tangerines(6)",,-0.2,-11.3,449.124,482.862
6,Other fresh fruits(5),0.251,5.7,1.5,122.423,120.402
5,Fresh vegetables,0.51,2,-1.8,339.504,339.046
6,Potatoes,0.08,2.6,5.3,373.131,378.883
6,Lettuce(4),0.061,0.5,-7.2,323.178,323.178
6,Tomatoes,0.084,5.1,16.5,364.552,361.089
6,Other fresh vegetables,0.285,-2.7,-7.3,331.212,329.381
5,Processed fruits and vegetables(5),0.28,1.4,0.2,157.754,158.057
6,Canned fruits and vegetables(5),0.146,1.8,-2.4,164.599,164.696
7,Canned fruits(5)(6),,-1.4,-5.5,159.232,159.038
7,Canned vegetables(5)(6),,1.8,2,174.878,174.356
6,Frozen fruits and vegetables(5),0.084,1.6,0.3,145.935,145.908
7,Frozen vegetables(6),,-1.3,0.3,201.175,201.453
6,Other processed fruits and vegetables including dried(5),0.051,1.9,3.2,156.19,157.009
7,"Dried beans, peas, and lentils(4)(5)(6)",,2.9,2,183.424,183.424
3,Nonalcoholic beverages and beverage materials,0.914,0.9,1.7,174.454,173.703
4,Juices and nonalcoholic drinks(5),0.65,1.4,1.9,136.903,136.1
5,Carbonated drinks,0.273,1.4,2.8,175.423,173.047
5,Frozen noncarbonated juices and drinks(4)(5),0.006,1,-5.6,176.258,176.258
5,Nonfrozen noncarbonated juices and drinks(5),0.372,0.9,2.3,123.026,122.433
4,Beverage materials including coffee and tea(5),0.264,–,1.1,117.496,117.672
5,Coffee,0.169,1.6,0.4,194.066,194.287
6,Roasted coffee(6),,1.3,1.3,202.498,202.209
6,Instant coffee(4)(6),,-1.3,-3.4,183.167,183.167
5,Other beverage materials including tea(4)(5),0.094,-0.7,2.4,131.954,131.954
3,Other food at home,1.937,0.2,1.5,214.565,214.481
4,Sugar and sweets(4),0.265,2.6,2.6,226.391,226.391
5,Sugar and sugar substitutes,0.036,1.7,6.6,196.892,198.07
5,Candy and chewing gum(4)(5),0.176,2.4,2.5,154.605,154.605
5,Other sweets(5),0.053,0.8,-2.1,155.25,153.866
4,Fats and oils,0.213,1.2,0.1,228.497,228.412
5,Butter and margarine(5),0.064,4.1,0.7,210.774,211.498
6,Butter(6),,3.6,1.8,254.716,255.27
6,Margarine(6),,2.7,2.3,305.728,306.059
5,Salad dressing(5),0.051,1.9,2.9,132.549,131.895
5,Other fats and oils including peanut butter(5),0.098,-1,-2.6,154.406,154.409
6,Peanut butter(4)(5)(6),,-3.6,0.8,152.257,152.257
5,Other foods,1.459,-0.4,1.7,228.741,228.633
6,Soups,0.087,-0.2,3.5,250.847,250.797
6,Frozen and freeze dried prepared foods,0.252,-1.1,1.9,168.064,169.164
6,Snacks(4),0.332,-0.7,0.5,253.683,253.683
6,"Spices, seasonings, condiments, sauces",0.29,1.6,2.6,249.685,248.336
7,Salt and other seasonings and spices(5)(6),,2.4,1.6,158.062,157.202
7,"Olives, pickles, relishes(4)(5)(6)",,4,–,147.653,147.653
7,Sauces and gravies(5)(6),,-0.9,3.7,145.255,143.837
7,Other condiments(6),,3.2,0.4,280.084,279.57
6,Baby food(4)(5),0.042,-1.2,4.3,172.296,172.296
6,Other miscellaneous foods(5),0.455,-1,1.2,134.325,134.309
7,Prepared salads(4)(7)(6),,-0.5,4.8,133.45,133.45
2,Food away from home(4),6.187,–,–,290.216,290.216
3,Full service meals and snacks(4)(5),3.124,0,3.2,179.94,179.94
3,Limited service meals and snacks(4)(5),2.666,0.4,2.9,186.02,186.02
3,Food at employee sites and schools(5),0.145,0.6,2.3,183.737,183.526
4,Food at elementary and secondary schools(4)(8)(6),,0,–,152.044,152.044
3,Food from vending machines and mobile vendors(4)(5),0.08,0.3,3.1,169.643,169.643
3,Other food away from home(4)(5),0.172,–,1.3,198.759,198.759
,,,,,,
1,Energy,6.517,-8.5,-9.2,199.573,202.7
2,Energy commodities,3.422,-15.8,-17.3,207.215,211.759
3,Fuel oil and other fuels,0.161,-9.1,-16.1,248.114,242.474
4,Fuel oil,0.098,-15,-23.6,229.794,227.036
4,"Propane, kerosene, and firewood(9)",0.062,-3,-5,329.657,319.742
3,Motor fuel,3.261,-10.5,-17.8,203.512,208.412
4,Gasoline (all types),3.186,-10.5,-17.8,202.205,207.111
5,"Gasoline, unleaded regular(6)",,-10.9,-18.4,196.578,201.274
5,"Gasoline, unleaded midgrade(10)(6)",,-10.4,-7.5,225.054,230.437
5,"Gasoline, unleaded premium(6)",,-9.1,-6.4,224.163,229.783
4,Other motor fuels(5),0.075,-6.6,-8.4,202.915,206.022
2,Energy services,3.095,-0.5,-1.2,201.439,203.297
3,Electricity,2.417,-0.2,-0.4,211.332,214.198
3,Utility (piped) gas service,0.678,-2.2,-3.2,168.994,167.913
,,,,,,
1,All items less food and energy,79.695,-0.1,2.1,267.312,266.795
2,Commodities less food and energy commodities,20.24,-0.4,-0.3,144.718,143.84
3,Household furnishings and supplies(11),3.737,-0.3,-0.5,90.783,90.344
4,Window and floor coverings and other linens(4)(5),0.293,-2.4,-1.4,57.847,57.847
5,Floor coverings(4)(5),0.064,-0.7,-1.2,112.681,112.681
5,Window coverings(4)(5),0.061,–,–,67.422,67.422
5,Other linens(4)(5),0.169,-3.9,-3,43.796,43.796
4,Furniture and bedding(4),0.94,-1.7,-0.7,113.176,113.176
5,Bedroom furniture(4),0.333,-2,-1.3,127.818,127.818
5,"Living room, kitchen, and dining room furniture(4)(5)",0.454,-1,0.7,88.279,88.279
5,Other furniture(4)(5),0.144,-1.5,-7.2,68.824,68.824
6,Infants' furniture(4)(8)(6),,–,–,104.325,104.325
4,Appliances(5),0.211,0.9,0.2,77.269,77.246
5,Major appliances(5),0.071,-0.4,-0.1,83.592,83.702
6,Laundry equipment(6),,4.5,3,92.498,93.603
5,Other appliances(5),0.138,0.8,1.4,67.04,66.916
4,Other household equipment and furnishings(5),0.535,0.3,-1.6,49.769,49.131
5,"Clocks, lamps, and decorator items(4)",0.31,–,-2.4,35.938,35.938
5,Indoor plants and flowers(12),0.09,2.4,0.2,133.292,130.19
5,Dishes and flatware(4)(5),0.055,5.1,–,48.784,48.784
5,Nonelectric cookware and tableware(5),0.08,1.1,-7.1,78.835,77.99
4,"Tools, hardware, outdoor equipment and supplies(5)",0.874,0.3,0.4,91.602,91.057
5,"Tools, hardware and supplies(4)(5)",0.241,–,0.7,99.638,99.638
5,Outdoor equipment and supplies(5),0.447,-0.2,1.6,87.878,87.257
4,Housekeeping supplies(4),0.882,0.7,-0.3,190.279,190.279
5,Household cleaning products(4)(5),0.347,1.1,0.8,121.468,121.468
5,Household paper products(4)(5),0.218,-0.8,0.6,177.763,177.763
5,Miscellaneous household products(4)(5),0.318,-0.5,–,117.825,117.825
3,Apparel,2.916,–,-1.6,123.815,121.99
4,Men's and boys' apparel,0.74,0.6,-0.5,119.09,117.805
5,Men's apparel,0.601,2.3,2.1,122.359,120.853
6,"Men's suits, sport coats, and outerwear",0.113,-5.1,-4.7,107.27,105.402
6,"Men's underwear, nightwear, swimwear, and accessories(4)",0.166,-2.6,–,161.888,161.888
6,Men's shirts and sweaters(5),0.169,1.2,-2,75.692,74.096
6,Men's pants and shorts,0.146,6.2,6.6,122.108,121.716
5,Boys' apparel,0.139,3.4,-4,104.624,104.941
4,Women's and girls' apparel,1.203,–,-3.1,106.796,104.073
5,Women's apparel,1,–,-4,108.686,105.684
6,Women's outerwear,0.067,-5.5,-6.7,97.69,98.046
6,Women's dresses,0.11,-6.2,-12.8,113.973,106.342
6,Women's suits and separates(5),0.513,-4.7,-5.5,74.646,72.057
6,"Women's underwear, nightwear, swimwear, and accessories(5)",0.3,-2.5,-1.4,107.258,106.497
5,Girls' apparel,0.203,-3.1,4,97.564,96.101
4,Footwear,0.678,–,-0.5,136.592,135.651
5,Men's footwear(4),0.235,-3.6,-1.7,138.063,138.063
5,Boys' and girls' footwear,0.143,-4.5,-1.9,158.009,157.345
5,Women's footwear,0.3,-2.1,0.7,125.024,124.073
4,Infants' and toddlers' apparel,0.133,–,-10,112.504,111.905
4,Jewelry and watches(9),0.162,2,1.2,171.237,172.617
5,Watches(4)(9),0.039,2.4,1.8,143.381,143.381
5,Jewelry(9),0.123,2.7,2.5,168.042,167.107
3,Transportation commodities less motor fuel(11),6.903,-0.4,-0.1,105.299,104.428
4,New vehicles,3.75,-0.4,-0.5,147.124,146.287
5,New cars and trucks(5)(6),,-0.4,-0.5,101.956,101.377
6,New cars(6),,-0.8,0,143.517,142.843
6,New trucks(13)(6),,-0.8,-0.7,156.543,155.607
4,Used cars and trucks,2.522,1.3,1.4,140.689,138.717
4,Motor vehicle parts and equipment(4),0.396,-0.2,1.4,148.19,148.19
5,Tires(4),0.251,-0.2,0,125.377,125.377
5,Vehicle accessories other than tires(4)(5),0.146,–,2.6,180.216,180.216
6,Vehicle parts and equipment other than tires(4)(6),,1.8,4.1,170.771,170.771
6,"Motor oil, coolant, and fluids(4)(6)",,-5.2,-2.3,396.931,396.931
3,Medical care commodities,1.62,1,0.6,384.498,383.665
4,Medicinal drugs(11),1.547,1.3,0.6,125.914,125.689
5,Prescription drugs,1.171,1.5,0.5,533.885,531.509
5,Nonprescription drugs(4)(11),0.376,1.6,0.8,96.565,96.565
4,Medical equipment and supplies(4)(11),0.072,1,1.3,101.093,101.093
3,Recreation commodities(11),2.038,-0.8,-1.1,79.206,78.984
4,Video and audio products(11),0.273,0.3,-7.2,37.08,37.075
5,Televisions,0.096,1.8,-16.8,1.384,1.389
5,Other video equipment(5),0.042,-1.4,-2.2,9.656,9.576
5,Audio equipment(4),0.079,4.2,0.9,26.999,26.999
5,Recorded music and music subscriptions(4)(5),0.045,0.8,-3.9,79.764,79.764
4,Pets and pet products(4),0.651,-0.7,0.9,205.207,205.207
5,Pet food(4)(5)(6),,-0.3,1.7,156.25,156.25
5,"Purchase of pets, pet supplies, accessories(4)(5)(6)",,-1.7,0.6,118.424,118.424
4,Sporting goods,0.594,-2,-1.1,112.053,111.468
5,Sports vehicles including bicycles(4),0.357,-2.3,-0.7,153.566,153.566
5,Sports equipment,0.227,-1.4,-2,77.527,77.458
4,Photographic equipment and supplies,0.027,-1.1,11.3,57.384,57.759
5,Film and photographic supplies(4)(5)(6),,,,,
5,Photographic equipment(5)(6),,-1.8,1.9,23.875,24.054
4,Recreational reading materials(4),0.118,-1.1,2.8,263.738,263.738
5,Newspapers and magazines(4)(5),0.066,2.4,10.5,195.683,195.683
5,Recreational books(4)(5),0.05,-1.6,-1.9,97.037,97.037
4,Other recreational goods(5),0.375,-0.2,-6.5,33.918,33.665
5,Toys,0.29,-0.3,-7.3,29.664,29.378
6,"Toys, games, hobbies and playground equipment(5)(6)",,-0.4,-8.4,37.121,36.608
5,"Sewing machines, fabric and supplies(4)(5)",0.022,–,–,94.722,94.722
5,Music instruments and accessories(4)(5),0.047,2,–,105.216,105.216
3,Education and communication commodities(11),0.516,-1.2,-4.2,69.475,69.504
4,Educational books and supplies,0.107,0.2,-2,671.048,670.813
5,College textbooks(4)(14)(6),,-2.7,-1.7,231.129,231.129
4,Information technology commodities(11),0.409,-1.1,-5.1,49.722,49.753
5,"Computers, peripherals, and smart home assistants(7)",0.298,-1.1,-2.4,38.706,38.74
