Indent Level,Expenditure category,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10
0,All items,242.839,243.603,243.801,244.524,244.733,244.955,244.786,245.519,246.819,246.663,246.669,246.524,247.867,248.991,249.554,250.546,251.588,251.989,252.006,252.146,252.439,252.885,252.038,251.233,251.712,252.776,254.202,255.548,256.092,256.143,256.571,256.558,256.759,257.346,257.208,256.974,257.971,258.678,258.115,256.389,256.394,257.797,259.101,259.918,260.28,260.388,260.229,260.474,261.582,263.014,264.877,267.054,269.195,271.696,273.003,273.567,274.31,276.589,277.948,278.802,281.148,283.716,287.504,289.109,292.296,296.311,296.276,296.171,296.808,298.012,297.711,296.797,299.17,300.84,301.836,303.363,304.127,305.109,305.691,307.026,307.789,307.671,307.051,306.746,308.417,310.326,312.332,313.548,314.069,314.175,314.54,314.796,315.301,315.664
1,Food,248.242,248.791,249.165,249.739,250.016,249.653,250.214,250.493,250.993,251.364,250.871,251.238,252.361,252.266,252.37,253.209,253.098,253.231,253.746,254.077,254.393,254.358,254.379,255.21,256.417,257.222,257.724,257.708,258.11,258.064,258.274,258.41,258.943,259.632,259.467,259.823,261.057,261.876,262.708,266.757,268.439,269.77,268.863,269.079,269.163,269.828,269.069,270.023,270.938,271.363,271.812,273.09,274.212,276.206,278.127,279.135,281.506,284.205,285.507,286.966,289.772,292.794,295.728,298.711,302.038,305.041,308.532,310.875,313.142,315.323,315.857,316.839,319.136,320.569,320.863,321.566,322.249,322.556,323.523,324.1,324.704,325.731,325.172,325.409,327.327,327.731,328.043,328.678,329.12,329.71,330.561,330.75,332.083,332.678
2,Food at home,237.365,237.918,238.256,238.817,238.964,238.3,238.953,238.843,239.128,239.543,238.403,238.579,239.828,239.19,239.158,240.129,239.287,239.158,239.82,240.015,240.125,239.882,239.352,239.989,241.381,242.057,242.555,241.878,242.145,241.407,241.359,241.153,241.543,242.34,241.726,241.75,243.11,244.054,245.163,251.717,253.827,255.042,252.563,252.352,251.369,251.937,250.407,251.253,252.107,252.716,253.231,254.76,255.516,257.412,259.022,259.825,262.695,265.478,266.384,267.555,270.711,274.568,278.612,282.161,285.953,288.884,292.972,295.007,296.771,298.401,298.284,299.089,301.435,302.483,301.918,302.328,302.535,302.335,303.455,303.716,303.925,304.788,303.224,303.005,305.037,305.469,305.426,305.707,305.679,305.752,306.643,306.402,307.767,308.2
2,Food away from home,266.079,266.626,267.055,267.652,268.128,268.225,268.649,269.522,270.353,270.658,271.152,271.811,272.772,273.435,273.733,274.393,275.307,275.808,276.125,276.648,277.258,277.513,278.306,279.419,280.38,281.373,281.887,282.798,283.394,284.316,284.891,285.507,286.246,286.791,287.255,288.078,289.137,289.781,290.216,290.639,291.709,293.219,294.599,295.437,297.08,297.893,298.253,299.369,300.382,300.54,300.897,301.819,303.481,305.634,308.023,309.336,310.996,313.592,315.481,317.372,319.471,320.88,321.689,323.559,325.952,329.033,331.342,334.212,337.369,340.532,342.266,343.559,345.677,347.869,349.944,351.237,352.892,354.245,354.862,356.083,357.488,358.824,360.383,361.564,363.249,363.596,364.546,365.813,367.099,368.616,369.383,370.348,371.604,372.486
1,Energy,199.608,198.195,198.597,202.869,203.132,204.646,202.554,205.894,215.711,207.29,209.383,206.598,210.663,213.519,212.554,218.83,226.81,229.137,227.107,226.939,226.165,225.757,215.91,205.905,200.563,202.74,211.724,222.499,225.773,221.373,222.492,216.978,215.418,216.351,214.636,212.982,213.043,208.354,199.573,183.081,183.076,193.379,197.665,197.362,198.858,196.458,194.388,198.155,205.273,213.277,225.861,229.116,235.339,240.72,244.8,246.639,248.228,255.338,259.1,256.207,260.653,267.771,298.246,298.469,316.761,340.917,325.407,305.372,297.343,300.359,292.953,274.937,283.33,281.673,279.084,283.352,279.816,283.854,284.828,294.328,296.004,286.754,277.029,269.375,270.42,276.331,285.002,290.76,290.139,286.675,287.868,282.614,275.74,272.807
2,Energy commodities,211.11,206.984,209.029,216.791,213.613,209.905,205.222,212.978,234.982,223.219,229.195,222.389,230.005,233.414,232.716,246.387,260.02,260.848,257.338,256.52,257.575,259.561,241.633,218.497,207.727,213.27,231.228,253.547,259.31,246.818,248.629,238.431,236.493,240.279,237.972,234.651,232.906,223.913,207.215,174.001,173.138,189.613,198.365,198.496,199.741,196.835,192.126,198.997,212.676,227.412,252.84,257.289,267.532,273.459,280.04,281.73,283.095,294.326,302.635,296.391,297.454,313.522,375.027,372.22,402.04,439.256,405.676,358.038,338.768,351.065,339.663,297.625,305.643,309.28,311.16,325.269,319.876,321.491,323.358,342.996,346.212,329.191,306.419,288.953,284.627,296.368,313.861,328.797,326.788,314.299,316.799,308.297,293.273,288.357
2,Energy services,197.767,198.82,197.709,198.915,202.401,208.852,209.084,208.454,207.339,201.661,200.225,201.066,201.516,203.932,202.625,201.245,203.553,207.631,207.091,207.617,204.819,201.798,200.148,203.8,204.038,202.69,202.461,201.341,202.101,206.219,206.651,205.9,204.66,202.556,201.387,201.446,203.318,202.712,201.439,200.899,201.752,206.368,206.388,205.636,207.454,205.445,205.921,206.758,207.649,209.296,209.623,211.838,214.335,219.425,221.196,223.272,225.16,228.484,227.874,228.199,235.941,235.017,237.825,240.865,249.129,262.048,262.731,267.564,269.667,264.188,260.22,263.825,272.84,266.353,259.647,255.185,253.204,259.564,259.766,260.448,260.791,258.236,259.944,260.877,267.475,267.662,267.658,264.252,265.029,270.669,270.573,268.419,269.593,268.564
1,All items less food and energy,250.083,251.143,251.29,251.642,251.835,252.014,251.936,252.46,252.941,253.638,253.492,253.558,254.638,255.783,256.61,257.025,257.469,257.697,257.867,258.012,258.429,259.063,259.105,259.083,260.122,261.114,261.836,262.332,262.59,263.177,263.566,264.169,264.522,265.059,265.108,264.935,266.004,267.268,267.312,266.089,265.799,266.302,267.703,268.756,269.054,269.328,269.473,269.226,269.755,270.696,271.713,273.968,275.893,278.218,279.146,279.507,279.884,281.617,282.754,283.908,285.996,288.059,289.305,290.846,292.506,294.68,295.646,297.178,298.442,299.315,299.6,300.113,301.962,304.011,305.476,306.899,308.096,308.91,309.402,310.103,310.817,311.38,311.606,311.907,313.623,315.419,317.088,317.978,318.629,319.003,319.214,320.017,321.109,321.758
2,Commodities less food and energy commodities,144.365,145.14,145.527,145.665,145.119,144.577,143.915,143.895,144.108,144.273,143.295,142.647,143.417,144.412,145.05,145.131,144.745,144.237,143.861,143.599,143.641,144.134,143.542,142.84,143.892,144.609,144.994,144.851,144.457,144.461,144.448,144.806,144.596,144.577,143.722,142.92,143.532,144.605,144.718,143.613,142.964,142.908,143.696,145.391,146.096,146.261,145.75,145.317,145.973,146.532,147.16,149.915,152.217,155.284,155.873,156.581,156.72,158.55,159.426,160.85,162.991,164.559,164.449,164.52,165.14,166.403,166.746,167.637,167.104,166.601,165.291,164.304,165.34,166.246,166.961,167.833,168.499,168.588,168.014,168.029,167.141,166.759,165.367,164.59,164.866,165.752,165.875,165.7,165.555,165.493,164.836,164.912,165.534,165.088
2,Services less energy services,315.282,316.506,316.481,316.971,317.67,318.345,318.674,319.559,320.21,321.253,321.69,322.25,323.5,324.69,325.61,326.252,327.298,328.068,328.641,329.086,329.761,330.465,330.983,331.478,332.444,333.586,334.518,335.468,336.204,337.197,337.867,338.619,339.377,340.302,341.032,341.347,342.694,344.006,343.99,342.776,342.801,343.713,345.493,345.936,345.88,346.22,346.884,346.808,347.19,348.361,349.607,351.265,352.721,354.25,355.375,355.423,355.962,357.469,358.722,359.559,361.397,363.672,365.938,368.565,370.937,373.664,375.06,376.98,379.634,381.58,383.179,384.906,387.258,390.07,392.024,393.769,395.295,396.646,398.002,399.219,401.234,402.549,404.143,405.338,408.051,410.432,413.179,414.828,416.048,416.733,417.592,418.903,420.286,421.731
1,All items less food,241.994,242.791,242.962,243.708,243.906,244.218,243.937,244.74,246.163,245.926,246.009,245.785,247.161,248.469,249.102,250.117,251.333,251.775,251.716,251.827,252.116,252.636,251.657,250.605,250.974,252.077,253.643,255.194,255.759,255.825,256.286,256.25,256.401,256.973,256.839,256.516,257.476,258.165,257.382,254.746,254.486,255.9,257.553,258.465,258.871,258.891,258.826,258.959,260.098,261.688,263.775,266.093,268.394,270.975,272.186,272.68,273.165,275.379,276.747,277.506,279.782,282.281,286.196,287.595,290.76,294.924,294.363,293.893,294.286,295.344,294.918,293.722,296.105,297.808,298.906,300.552,301.327,302.406,302.932,304.376,305.162,304.877,304.249,303.866,305.5,307.628,309.882,311.182,311.714,311.75,312.042,312.308,312.692,313.021
1,All items less shelter,225.699,226.424,226.469,227.223,227.205,227.149,226.729,227.274,228.825,228.218,228.096,227.582,229.08,230.358,230.692,231.735,232.727,233.054,232.755,232.615,232.868,233.231,231.856,230.492,230.765,231.792,233.29,234.723,235.131,234.791,235.071,234.853,234.802,235.538,235.162,234.656,235.553,236.084,235.184,232.86,232.598,234.316,235.82,236.785,237.237,237.328,237.052,237.289,238.594,240.288,242.43,244.958,247.484,250.261,251.473,252.072,252.664,255.337,256.714,257.431,260.156,262.949,267.42,268.974,272.55,277.194,276.416,275.409,275.381,276.154,274.96,272.711,274.976,276.174,276.61,278.101,278.336,279.002,279.181,280.663,280.869,280.313,278.876,277.848,279.224,281.119,283.05,284.224,284.261,284.023,284.01,283.681,284.044,284.092
1,All items less food and shelter,219.777,220.539,220.508,221.301,221.215,221.23,220.586,221.191,222.978,222.148,222.111,221.397,222.971,224.545,224.927,226.011,227.24,227.608,227.132,226.89,227.127,227.577,225.902,224.062,224.129,225.199,226.909,228.655,229.061,228.659,228.952,228.658,228.479,229.222,228.802,228.109,228.926,229.39,228.099,224.331,223.627,225.426,227.475,228.608,229.142,229.102,228.936,229.01,230.398,232.376,234.896,237.7,240.537,243.483,244.528,245.033,245.218,247.875,249.264,249.81,252.505,255.235,260.018,261.255,264.868,269.845,268.146,266.417,265.891,266.355,264.792,261.854,264.101,265.242,265.706,267.358,267.496,268.236,268.245,269.913,270.034,269.14,267.522,266.227,267.478,269.695,271.975,273.263,273.211,272.791,272.587,272.145,272.293,272.22
1,"All items less food, shelter, and energy",225.903,227.066,226.956,227.133,226.984,226.73,226.339,226.459,226.824,227.349,226.928,226.578,227.726,229.09,229.717,229.888,229.929,229.953,229.748,229.489,229.91,230.517,230.278,229.872,230.902,231.788,232.222,232.38,232.28,232.585,232.735,233.367,233.432,234.15,233.955,233.426,234.373,235.659,235.539,233.74,232.916,233.39,235.111,236.485,236.874,237.207,237.342,236.831,237.329,238.376,239.333,242.101,244.439,247.036,247.614,247.913,247.878,249.864,250.894,251.992,254.448,256.529,257.366,258.776,260.146,262.195,262.628,263.732,264.37,264.442,263.771,263.147,264.519,266.085,267.003,268.292,268.97,269.235,269.102,269.642,269.536,269.858,269.409,269.032,270.329,272.011,273.345,273.967,274.001,274.04,273.621,273.907,275.128,275.491
1,"All items less food, shelter, energy, and used cars and trucks",231.328,232.534,232.304,232.396,232.219,232.013,231.632,231.773,232.332,232.991,232.615,232.147,233.347,234.707,235.187,235.421,235.546,235.517,235.146,234.829,235.84,236.373,235.969,235.524,236.57,237.48,237.836,238.012,238.051,238.2,238.181,238.745,239.317,240.116,239.999,239.454,240.588,241.844,241.387,239.563,238.773,239.436,240.841,241.498,241.605,241.816,242.169,241.759,242.424,243.504,244.174,245.687,247.125,247.993,248.462,249.078,249.78,251.429,252.043,252.533,254.861,256.942,258.321,260.02,261.361,263.065,263.458,264.767,266.55,267.191,267.127,266.999,268.746,270.667,271.501,272.145,272.328,272.397,272.288,273.124,274.002,274.583,273.983,273.566,275.444,277.195,278.554,279.271,279.247,279.245,278.941,279.345,280.655,280.994
1,All items less medical care,231.859,232.526,232.732,233.531,233.752,233.945,233.688,234.419,235.793,235.602,235.605,235.426,236.677,237.767,238.305,239.339,240.391,240.756,240.812,241.006,241.287,241.728,240.766,239.9,240.27,241.335,242.776,244.134,244.629,244.653,245,244.836,245.02,245.418,245.206,244.861,245.789,246.445,245.778,243.907,243.812,245.207,246.479,247.304,247.719,247.916,247.79,248.096,249.098,250.497,252.421,254.703,256.971,259.628,260.938,261.479,262.275,264.53,265.889,266.729,268.947,271.543,275.372,276.967,280.207,284.253,284.084,283.794,284.324,285.69,285.524,284.562,287.019,288.849,289.965,291.585,292.373,293.396,294.037,295.367,296.147,295.963,295.225,294.829,296.402,298.395,300.366,301.559,301.981,302.043,302.482,302.733,303.175,303.479
1,All items less energy,249.115,250.097,250.277,250.662,250.866,250.965,250.981,251.467,251.95,252.597,252.4,252.51,253.594,254.555,255.275,255.75,256.112,256.325,256.545,256.717,257.118,257.653,257.692,257.794,258.855,259.817,260.505,260.925,261.203,261.696,262.059,262.592,262.969,263.527,263.545,263.45,264.54,265.734,265.896,265.465,265.471,266.097,267.149,268.073,268.338,268.671,268.68,268.613,269.199,270.06,270.989,273.092,274.891,277.161,278.235,278.691,279.366,281.238,282.397,283.593,285.779,287.972,289.456,291.199,293.092,295.378,296.702,298.346,299.749,300.807,301.126,301.705,303.612,305.57,306.869,308.189,309.312,310.054,310.611,311.293,311.99,312.616,312.732,313.024,314.764,316.361,317.836,318.689,319.309,319.712,320.012,320.728,321.85,322.49
1,Commodities,180.298,180.607,181.136,182.041,181.489,180.72,180.043,180.763,182.903,182.116,181.847,180.946,182.434,183.385,183.78,185.271,186.199,185.965,185.531,185.366,185.571,186.071,184.077,181.754,181.815,183.001,184.993,186.884,187.236,186.112,186.319,185.686,185.508,186.012,185.186,184.441,185.055,185.331,184.364,182.141,182.064,183.619,184.59,185.83,186.434,186.502,185.594,186.063,187.79,189.402,191.877,194.456,197.117,200.209,201.615,202.496,203.313,206.134,207.708,208.602,210.918,213.96,219.057,219.647,223.076,227.423,226.11,223.891,222.678,223.747,222.112,218.607,220.468,221.731,222.457,224.216,224.515,224.764,224.698,226.161,225.866,224.696,222.008,220.324,220.683,222.289,223.766,224.926,224.786,223.956,223.899,223.363,223.014,222.483
2,"Commodities less food, energy, and used cars and trucks",145.843,146.655,146.911,146.909,146.267,145.761,145.076,145.074,145.584,145.926,144.942,144.064,144.884,145.851,146.274,146.444,146.126,145.458,144.792,144.432,145.35,145.724,144.816,144.001,145.104,145.854,146.12,145.964,145.74,145.462,145.166,145.392,145.933,145.948,145.111,144.23,145.098,146.126,145.767,144.685,144.091,144.249,144.465,145.171,145.512,145.476,145.197,144.915,145.857,146.418,146.59,147.536,148.545,149.161,149.603,150.858,152.127,153.483,153.738,154.329,156.318,157.87,158.413,158.714,159.204,159.892,160.175,161.371,162.325,162.553,161.993,161.642,163.174,164.512,165.102,165.056,165.049,164.853,164.254,164.62,164.988,164.879,163.154,162.267,163.295,164.21,164.254,164.141,163.893,163.759,163.244,163.472,164.171,163.609
2,Commodities less food,149.911,150.122,150.691,151.688,150.852,149.96,148.853,149.711,152.38,151.197,151.017,149.683,151.229,152.487,152.962,154.606,155.839,155.493,154.761,154.439,154.598,155.254,152.676,149.403,149.079,150.341,152.742,155.187,155.507,154.073,154.27,153.408,153.002,153.421,152.412,151.332,151.711,151.792,150.257,146.008,145.341,146.906,148.471,150.007,150.761,150.625,149.704,149.989,151.918,153.865,156.922,159.832,162.903,166.238,167.412,168.214,168.472,171.217,172.817,173.484,175.53,178.425,183.946,183.754,187.042,191.593,188.836,185.295,183.048,183.714,181.48,176.74,178.367,179.508,180.326,182.309,182.475,182.692,182.317,183.968,183.416,181.643,178.456,176.282,176.114,178.043,179.838,181.119,180.794,179.536,179.184,178.434,177.549,176.673
2,Commodities less food and beverages,146.651,146.864,147.435,148.439,147.605,146.698,145.566,146.433,149.136,147.909,147.715,146.359,147.92,149.182,149.663,151.325,152.599,152.228,151.492,151.165,151.289,151.937,149.295,145.964,145.62,146.883,149.344,151.843,152.161,150.688,150.874,149.991,149.578,150.007,148.997,147.899,148.253,148.304,146.714,142.355,141.639,143.229,144.856,146.405,147.175,147.003,146.034,146.342,148.303,150.285,153.389,156.346,159.47,162.845,164.035,164.825,165.071,167.881,169.51,170.179,172.227,175.114,180.695,180.477,183.797,188.392,185.573,181.945,179.658,180.284,177.977,173.135,174.751,175.907,176.732,178.713,178.852,179.065,178.686,180.354,179.759,177.943,174.724,172.516,172.324,174.276,176.099,177.393,177.054,175.756,175.392,174.621,173.715,172.796
1,Services,304.503,305.71,305.59,306.142,307.084,308.263,308.584,309.334,309.83,310.283,310.555,311.138,312.318,313.608,314.337,314.807,315.957,317.004,317.482,317.932,318.312,318.699,319.034,319.794,320.695,321.623,322.456,323.228,323.964,325.218,325.866,326.489,327.076,327.744,328.311,328.603,329.987,331.139,331.021,329.866,329.958,331.166,332.797,333.141,333.236,333.385,334.031,334.03,334.451,335.655,336.822,338.518,340.052,341.863,343.035,343.246,343.892,345.54,346.637,347.429,349.753,351.754,354.058,356.71,359.566,363.133,364.465,366.622,369.22,370.542,371.672,373.549,376.415,378.481,379.743,380.99,382.233,383.972,385.231,386.4,388.274,389.278,390.873,392.042,395.02,397.225,399.752,401.02,402.2,403.242,404.026,405.074,406.433,407.687
2,Services less rent of shelter,326.442,328.065,327.067,327.518,328.654,330.146,330.288,330.451,330.718,330.492,330.682,331.01,332.499,334.488,334.676,334.681,335.825,337.42,337.46,337.384,337.734,337.77,337.836,338.672,339.422,340.062,340.396,340.756,341.281,342.741,343.177,343.892,344.128,345.375,346.023,346.068,347.578,348.701,347.979,345.544,344.834,346.852,349.557,349.819,349.887,350.038,351.287,350.968,351.226,352.974,354.212,356.494,358.568,360.462,361.153,361.047,361.09,363.265,364.091,364.361,367.891,369.918,372.608,376.389,380.099,385.22,385.783,387.748,390.555,390.582,390.523,391.44,394.542,395.48,395.158,395.889,395.956,397.625,398.407,399.835,401.324,402.364,404.184,404.884,408.614,411.089,414.016,415.161,415.639,416.758,416.85,417.066,419.05,420.492
2,Services less medical care services,289.474,290.543,290.423,291.018,292.035,293.274,293.556,294.305,294.785,295.186,295.501,296.11,297.076,298.306,298.978,299.443,300.674,301.716,302.229,302.815,303.13,303.469,303.695,304.397,305.131,305.981,306.807,307.576,308.204,309.446,309.955,310.364,310.866,311.231,311.687,311.903,313.118,314.141,313.845,312.451,312.35,313.494,315.055,315.39,315.51,315.782,316.523,316.606,316.72,317.746,318.951,320.837,322.545,324.542,325.694,325.805,326.567,328.118,329.178,329.918,332.001,333.994,336.208,338.884,341.776,345.321,346.527,348.484,350.978,352.617,354.16,356.168,359.292,361.699,363.264,364.698,366.07,367.946,369.411,370.583,372.524,373.512,375.071,376.145,378.914,381.276,383.736,384.975,386.111,387.144,388.116,389.178,390.387,391.556
