Indent Level,Expenditure category,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10
1,Durables,106.147,106.326,106.343,106.397,106.257,105.917,105.298,104.9,104.175,103.838,103.714,104.083,104.433,104.626,105.046,104.891,104.583,104.636,104.864,104.669,103.488,103.726,103.913,104.169,104.808,105.042,105.379,105.178,104.849,105.167,105.369,105.331,104.385,104.263,103.902,103.695,103.896,104.421,104.703,104.336,104.309,104.188,105.252,106.97,107.474,107.819,107.612,107.691,107.517,107.893,108.597,111.983,115.051,119.434,120.31,120.666,120.107,122.097,123.678,125.747,127.345,128.109,127.471,127.622,128.122,129.464,129.856,130.123,128.688,127.903,126.596,125.624,125.749,125.825,126.227,127.406,128.059,128.392,128.029,127.556,125.849,125.259,124.57,124.061,123.752,123.847,123.613,123.372,123.167,123.098,122.734,122.201,122.204,122.18
1,Nondurables,217.486,217.861,218.705,220.132,219.337,218.331,217.668,219.112,223.085,222.048,221.698,219.981,222.191,223.624,223.953,226.564,228.354,227.922,227.018,226.897,228.169,228.816,225.342,221.263,220.86,222.655,225.714,229.028,229.875,227.749,227.936,226.909,227.358,228.294,227.202,226.12,226.998,227.015,225.113,221.622,221.514,224.283,225.024,225.659,226.258,226.074,224.697,225.432,228.543,230.98,234.611,236.092,237.991,239.487,241.137,242.338,244.222,247.33,248.656,248.393,250.951,255.634,265.38,266.284,271.921,278.363,275.627,271.395,270.648,273.337,271.71,266.405,269.657,271.873,272.775,274.743,274.606,274.711,274.97,278.122,279.363,277.852,273.685,271.155,272.044,274.73,277.483,279.693,279.631,278.261,278.482,278.025,277.42,276.526
2,Nondurables less food,191.415,191.649,192.856,194.939,193.311,191.808,190.19,192.537,199.202,197.068,196.834,193.495,196.483,199.039,199.529,203.427,206.61,205.762,203.811,203.356,205.322,206.47,200.436,192.75,191.151,193.659,198.584,204.336,205.504,201.854,202.021,200.141,200.521,201.629,199.858,197.719,198.307,197.68,193.597,184.081,182.539,186.445,188.502,189.47,190.477,189.614,187.75,188.305,193.157,197.194,203.354,204.988,207.498,208.587,210.008,211.357,212.84,216.257,217.593,215.952,218.295,224.264,239.355,238.601,246.034,255.163,247.498,238.068,234.93,238.004,234.67,224.406,228.378,231.189,232.561,235.504,234.724,234.67,234.37,239.516,241.247,237.755,230.793,226.113,226.194,230.623,235.242,238.653,238.2,235.322,235.051,234.098,231.993,229.953
2,Nondurables less food and beverages,188.117,188.358,189.614,191.787,190.106,188.528,186.81,189.272,196.273,193.973,193.703,190.183,193.31,195.966,196.477,200.568,203.975,203.036,200.994,200.517,202.508,203.673,197.258,189.142,187.418,190.018,195.255,201.358,202.572,198.687,198.829,196.83,197.235,198.41,196.581,194.325,194.871,194.122,189.714,179.517,177.787,181.931,184.196,185.181,186.252,185.252,183.195,183.826,188.975,193.264,199.791,201.493,204.141,205.223,206.718,208.085,209.623,213.281,214.693,212.913,215.316,221.502,237.431,236.569,244.396,254.001,245.823,235.747,232.407,235.534,231.901,220.948,225.06,228.028,229.467,232.501,231.597,231.52,231.206,236.633,238.368,234.628,227.296,222.337,222.371,227.029,231.906,235.493,234.992,231.905,231.604,230.575,228.334,226.106
2,"Nondurables less food, beverages, and apparel",232.809,231.377,232.124,235.616,233.953,232.545,231.039,234.055,243.07,238.448,240.539,237.687,241.796,243.516,243.131,249.354,255.528,255.799,254.009,253.462,253.69,254.582,246.629,236.038,232.074,234.377,242.842,252.96,255.619,249.683,250.877,246.714,245.336,247.773,246.704,245.365,245.172,241.692,234.822,221.427,220.969,227.698,231.72,232.069,231.917,230.385,228.608,231.006,237.386,243.062,253.342,256.202,260.377,262.552,265.795,266.72,267.867,273.316,276.857,274.75,276.866,284.685,310.037,309.706,322.565,338.444,325.961,308.244,301.11,306.647,302.33,285.747,290.445,292.689,294.383,300.265,299.013,299.444,299.782,307.421,309.078,303.128,294.004,287.273,285.921,291.019,298.044,304.097,303.965,299.427,300.274,297.113,290.865,288.705
2,Nondurables less food and apparel,232.728,231.437,232.147,235.364,233.791,232.496,231.138,233.906,242.167,238.034,239.964,237.357,241.139,242.772,242.432,248.132,253.681,253.99,252.33,251.828,252.167,253.05,245.875,236.236,232.683,234.854,242.5,251.663,254.108,248.754,249.89,246.124,244.867,247.077,246.041,244.816,244.762,241.755,235.665,223.707,223.42,229.496,233.004,233.387,233.256,231.996,230.503,232.599,238.365,243.488,252.783,255.411,259.205,261.275,264.219,265.155,266.249,271.121,274.322,272.474,274.509,281.8,304.859,304.652,316.375,330.86,319.632,303.708,297.267,302.476,298.713,283.802,288.197,290.24,291.794,297.25,296.231,296.653,296.954,303.906,305.553,300.228,291.903,285.811,284.663,289.326,295.707,301.226,301.139,297.09,297.881,295.045,289.403,287.549
1,Housing,247.942,248.693,248.978,249.514,250.376,251.629,251.87,252.615,252.984,253.125,253.177,253.845,254.857,255.713,256.388,256.969,257.907,258.71,259.268,259.884,259.941,260.268,260.473,261.36,262.284,263.057,263.886,264.452,265.137,266.461,267.101,267.263,267.822,267.794,267.925,268.236,269.468,270.281,270.273,270.184,270.823,271.831,272.445,272.866,273.116,273.014,273.29,273.684,274.336,275.137,276.028,277.258,278.648,280.366,281.604,282.391,283.744,285.31,286.308,287.511,289.889,291.504,293.577,295.259,297.868,300.927,302.327,304.506,306.521,307.816,308.72,310.725,313.747,315.431,316.514,317.278,318.205,320.002,321.087,321.894,323.563,323.964,324.735,325.64,328.222,329.704,331.247,331.688,332.777,334.087,335.056,335.931,336.776,337.47
1,Education and communication,139.041,138.796,136.234,135.781,135.563,135.497,135.388,135.702,136.189,136.502,136.717,136.671,136.635,136.327,136.029,135.943,136.261,136.535,136.77,137.336,137.868,137.776,136.981,136.976,137.055,137.168,137.082,137.182,137.199,137.344,137.595,138.154,138.409,138.529,138.92,138.839,139.132,139.256,139.199,139.378,139.34,139.258,140.794,141.32,141.369,141.469,141.534,141.549,141.556,141.679,141.289,141.742,142.002,142.174,142.386,143.011,143.807,143.974,143.884,143.844,143.876,143.913,143.475,143.212,143.108,143.335,143.15,143.687,144.089,143.988,144.852,144.922,145.336,145.407,145.481,145.449,145.205,144.9,144.919,145.174,145.598,145.295,144.743,144.806,145.37,145.966,145.822,146.04,145.955,145.902,146.189,146.643,146.928,146.451
2,Education,251.122,251.356,251.113,251.001,250.959,251.658,252.115,253.805,255.783,256.435,256.721,256.469,256.15,256.291,255.609,255.564,256.09,256.679,257.477,260.613,262.336,262.947,263.119,263.199,263.125,263.62,263.905,263.944,264.199,264.612,264.882,266.979,268.357,268.878,268.88,268.7,268.841,269.36,269.45,269.614,269.725,269.993,270.659,271.626,272.241,272.465,272.359,272.437,272.238,272.539,271.559,271.829,272.544,273.169,273.812,275.373,277.551,278.047,278.097,277.904,278.087,278.38,278.388,278.647,279.356,280.562,280.974,283.882,286.151,286.449,286.792,287.177,287.509,287.651,288.26,288.606,288.843,289.382,290.069,292.014,294.357,294.084,293.674,294.04,294.574,295.488,295.297,295.736,296.691,297.42,298.288,301.065,304.883,305.154
2,Communication,78.19,77.874,75.275,74.834,74.618,74.365,74.131,74.011,73.994,74.147,74.295,74.314,74.354,74.015,73.883,73.808,73.997,74.129,74.171,73.983,74.099,73.862,73.031,73.007,73.103,73.097,72.943,73.032,72.989,73.034,73.219,73.272,73.195,73.19,73.578,73.541,73.79,73.793,73.719,73.854,73.793,73.655,74.98,75.271,75.181,75.228,75.313,75.311,75.361,75.412,75.255,75.63,75.721,75.748,75.808,76.061,76.341,76.391,76.294,76.298,76.292,76.267,75.866,75.576,75.341,75.311,75.061,74.977,74.895,74.745,75.464,75.452,75.75,75.786,75.748,75.662,75.415,75.064,74.966,74.858,74.827,74.614,74.213,74.205,74.607,74.967,74.874,74.986,74.736,74.554,74.649,74.541,74.092,73.62
1,Recreation,117.337,118.375,118.573,118.639,118.577,118.518,118.863,118.875,118.87,118.663,118.42,118.336,118.647,119.093,119.281,118.966,118.851,119.145,119.272,118.972,119.163,118.85,119.147,119.705,120.265,120.306,120.743,120.821,120.254,120.145,120.128,120.458,120.357,120.982,121.381,121.545,121.986,122.067,122.265,121.935,122.779,122.015,121.304,122.074,122.188,122.581,123.016,122.692,122.14,123.021,123.567,124.546,124.769,124.893,125.588,126.245,126.438,127.301,126.952,126.695,127.937,129.116,129.437,129.892,130.36,130.677,131.087,131.437,131.581,132.49,132.965,133.172,134.077,135.519,135.693,136.375,136.28,136.3,136.401,136.102,136.687,136.726,136.292,136.811,137.8,138.322,138.183,138.412,138.118,138.115,138.277,138.214,137.651,138.12
2,Video and audio,101.682,103.132,104.011,104.35,104.603,104.713,104.803,104.861,104.994,104.636,104.39,103.844,104.014,104.65,104.921,104.412,104.278,104.115,103.973,103.991,104.306,103.959,103.995,103.8,104.478,105,105.119,104.75,104.381,104.162,103.922,104.38,104.552,104.763,104.946,105.427,105.68,106.034,106.466,106.51,106.53,106.214,107.223,107.898,108.103,108.183,107.882,108.207,107.888,108.911,109.417,109.612,109.731,110.503,111.16,111.756,111.917,111.704,111.366,110.531,111.376,112.225,112.236,112.568,113.457,113.514,113,112.544,112.307,112.911,113.219,112.507,113.362,115.056,116.021,116.545,116.495,116.289,116.39,116.65,116.753,116.379,115.469,115.495,116.615,118.019,118.983,119.272,117.916,117.379,117.987,117.849,117.725,117.411
2,"Pets, pet products and services",170.008,170.166,170.197,170.475,170.356,169.991,170.602,170.757,170.5,170.556,169.828,170,170.822,170.706,171.011,171.781,172.437,172.696,172.7,172.538,173.248,173.449,173.488,174.113,174.918,176.081,176.496,177.07,177.868,178.059,179.051,178.751,178.723,179.34,179.583,180.308,180.442,180.819,180.452,179.555,179.788,178.984,179.54,181.015,180.024,179.618,180.412,181.066,182.431,182.884,183.075,183.781,184.359,184.134,185.297,185.437,186.043,186.424,186.695,188.497,190.444,192.891,196.819,198.626,199.268,200.39,202.111,204.246,206.572,208.107,209.095,209.069,210.689,213.861,215.341,219.264,219.876,219.542,219.611,217.646,218.417,218.853,218.164,219.648,220.617,221.316,223.518,223.045,223.379,224.003,223.864,223.816,222.98,223.322
2,Photography,75.74,76.153,75.883,75.901,75.394,75.306,75.923,76.312,76.839,76.667,76.676,74.837,73.647,74.383,74.728,75.392,74.542,72.656,72.913,73.934,74.154,74.605,75.273,74.095,73.672,73.073,73.161,73.238,73.309,73.024,73.694,73.621,74.095,74.422,74.443,72.665,73.348,75.996,76.305,75.445,74.506,75.566,75.921,75.659,75.991,76.332,76.341,74.997,75.719,77.109,76.729,76.591,76.8,76.697,77.597,77.624,77.749,77.827,78.763,77.661,78.317,78.683,79.189,79.727,80.455,79.905,81.343,82.424,82.691,82.197,81.866,82.174,83.747,84.664,84.322,84.137,84.267,84.31,83.885,83.933,85.769,87.476,87.842,87.336,88.366,87.048,87.117,87.154,85.614,86.099,86.415,86.378,85.829,85.66
1,Food and beverages,248.074,248.595,248.967,249.538,249.749,249.398,249.93,250.212,250.735,251.13,250.694,251.024,252.109,252.076,252.182,252.999,252.848,253.022,253.476,253.779,254.178,254.203,254.262,255.023,256.185,256.997,257.43,257.393,257.791,257.778,258.015,258.154,258.646,259.284,259.08,259.403,260.638,261.487,262.32,266.137,267.792,269.051,268.132,268.383,268.465,269.169,268.539,269.383,270.26,270.672,271.135,272.367,273.441,275.38,277.187,278.201,280.452,282.943,284.168,285.556,288.264,291.244,294.064,296.915,300.081,302.967,306.278,308.55,310.678,312.86,313.467,314.459,316.705,318.05,318.338,319.085,319.811,320.12,321.02,321.578,322.249,323.262,322.703,322.933,324.782,325.19,325.491,326.107,326.545,327.144,327.956,328.156,329.417,330.051
2,Domestically produced farm food,245.249,245.365,246.104,246.842,246.836,246.227,247.134,247.082,247.431,247.806,246.651,246.92,248.099,247.369,247.165,248.373,247.546,247.343,248.112,248.105,248.048,247.519,247.172,247.826,248.889,249.51,250.216,249.685,249.781,249.146,249.258,248.907,249.339,250.212,249.46,249.635,250.763,251.833,252.974,259.558,262.316,263.731,260.984,260.645,259.544,260.122,258.692,259.404,259.851,260.634,261.273,263.207,264.29,266.106,267.797,268.392,271.322,274.278,275.508,276.523,279.808,283.829,288.245,291.954,295.893,299.074,303.324,305.505,307.297,308.998,308.94,309.885,312.052,312.657,312.069,312.634,312.861,312.614,314.057,314.167,314.552,315.637,313.939,313.71,315.361,315.828,315.615,316.011,316.232,316.233,317.373,317.24,318.919,319.3
1,Other services,348.418,349.503,346.601,346.244,346.118,346.161,346.663,347.624,348.502,348.774,349.179,349.586,350.006,350.392,350.476,350.431,351.181,352.454,353.05,353.802,355.202,355.315,355.096,355.373,356.039,356.916,357.332,357.646,357.19,357.493,358.051,359.32,359.723,360.968,362.303,363.215,364.536,364.767,365.516,365.78,367.263,366.375,367.63,368.939,369.91,370.766,371.19,371.076,369.899,371.267,372.434,373.376,373.725,374.539,376.077,377.579,379.144,380.812,380.326,380.714,382.052,383.948,384.312,385.184,386.219,387.049,387.616,388.767,389.919,391.29,394.818,395.485,397.606,400.518,401.293,403.162,402.996,403.139,404.54,405.504,407.114,407.271,407.515,409.266,411.301,412.674,413.562,414.998,414.873,415.335,416.412,417.48,417.567,418.167
1,Apparel less footwear,115.754,119.376,121.342,121.069,119.215,117.182,115.08,116.968,121.273,122.927,118.448,113.32,115.513,120.049,121.481,122.435,121.606,118.533,115.346,114.812,120.684,122.582,118.031,113.249,114.946,118.417,118.637,118.538,117.389,116.544,114.704,115.904,119.572,118.528,115.053,110.983,112.77,116.71,116.39,110.865,107.006,107.117,106.236,108.334,111.998,111.282,108.165,106.018,109.762,112.107,112.717,112.301,112.43,111.785,110.57,112.577,114.746,115.803,113.6,112.104,115.394,119.35,120.43,118.568,118.22,117.433,115.879,118.305,121.592,121.07,118.11,116.146,119.789,123.971,125.205,123.785,123.366,122.399,121.207,123.008,124.889,124.603,119.489,117.348,119.886,123.686,125.399,125.431,124.3,123.396,121.268,123.808,127.725,124.854
1,Fuels and utilities,232.516,233.688,232.714,233.827,236.615,241.94,242.119,241.936,241.574,237.015,236.41,237.423,238.77,240.938,239.786,238.857,240.911,244.56,244.269,245.052,242.834,240.641,239.691,242.343,242.374,241.549,241.55,240.773,241.39,244.703,245.205,244.54,243.643,242.207,241.459,241.788,243.739,242.951,241.16,239.897,240.361,244.717,245.125,244.948,246.471,244.978,245.807,247.236,248.879,251.277,251.797,253.46,255.631,260.4,262.32,264.303,266.559,270.577,270.444,270.831,278.758,279.032,283.376,286.339,295.153,306.293,305.797,309.739,311.69,308.978,305.991,307.348,315.652,309.96,304.032,299.962,297.818,303.365,304.077,305.887,306.948,304.885,306.379,306.768,313.469,314.229,314.168,311.41,311.649,316.248,316.671,314.948,316.243,315.866
2,Household energy,193.787,194.837,193.703,194.763,197.732,203.481,203.569,203.169,202.677,197.585,196.686,197.705,198.873,200.993,199.657,198.418,200.45,204.238,203.747,204.275,201.859,199.381,197.632,200.39,200.575,199.581,199.429,198.366,198.961,202.402,202.787,201.914,200.855,199.089,198.123,198.426,200.219,199.117,196.998,195.534,195.974,200.599,200.788,200.177,201.763,199.995,200.67,202.017,203.476,205.82,206.271,207.988,210.371,215.355,217.106,218.98,221.196,225.447,225.221,225.435,233.373,233.3,238.029,241.059,250.594,262.5,261.643,265.453,267.114,264.11,260.589,261.904,270.214,263.358,256.705,251.991,249.289,255.076,255.436,256.889,257.971,255.594,256.961,257.327,263.599,263.961,263.767,260.399,260.721,265.662,265.712,263.44,264.362,263.587
1,Medical care,471.7,474.546,474.561,473.582,473.512,474.36,476.126,476.869,476.485,477.121,477.198,477.802,481.06,482.897,483.984,484.034,484.853,486.019,485.193,484.172,484.708,485.269,486.886,487.409,490.204,491.227,492.306,493.331,494.928,495.563,497.687,500.916,501.468,506.1,507.541,509.689,512.149,513.923,515.605,517.053,519.194,520.734,522.686,523.295,522.528,520.725,519.848,518.766,522.133,524.207,524.734,524.585,523.918,522.989,524.219,525.247,524.818,527.564,528.877,530.026,535.048,536.932,539.739,541.515,543.488,546.717,549.562,553.429,556.323,554.043,550.844,551.002,551.422,549.487,547.805,547.219,547.42,547.432,546.698,548.082,548.431,549.762,551.769,553.485,557.215,557.236,559.935,561.612,564.249,565.301,564.039,564.407,566.266,567.87
1,Transportation,199.292,199.147,200.091,202.389,202.212,201.263,199.466,200.652,204.775,202.457,204.014,203.023,205.338,207.359,207.845,210.734,214.125,214.679,214.039,213.482,212.414,213.482,209.924,204.541,202.57,204.236,208.836,214.142,215.391,213.073,213.405,211.084,209.35,210.487,209.763,208.482,208.284,207.772,203.854,193.732,191.419,195.609,200.766,202.386,202.715,203.086,202.828,203.56,205.631,209.054,215.761,222.547,229.689,237.701,239.722,238.333,236.373,241.042,245.532,246.499,248.424,253.15,264.525,266.892,274.282,284.644,278.958,270.334,266.109,267.979,264.668,255.993,257.874,259.712,261.969,267.402,268.862,270.146,270.602,274.22,272.517,270.027,267.035,263.375,262.11,266.638,272.485,276.687,276.623,273.579,273.326,271.391,269.604,269.724
2,Private transportation,194.508,194.019,194.89,196.926,196.549,195.67,194.419,196.21,200.487,197.766,199.421,198.757,201.164,202.935,203.343,206.149,209.49,210.184,209.959,209.725,208.55,209.429,205.769,200.605,198.551,199.92,204.68,209.918,210.674,208.319,209.185,206.979,205.068,206.07,205.317,204.61,204.277,203.291,200.626,191.079,188.771,193.105,198.657,200.884,200.967,200.711,200.039,201.523,203.963,207.664,214.743,220.742,227.144,235.331,238.055,237.994,236.655,241.413,245.735,246.999,248.995,253.525,264.669,265.383,271.545,282.398,277.502,269.389,264.941,266.595,263.196,254.846,256.981,258.339,260.495,265.893,267.275,269.273,270.609,274.66,272.841,269.92,266.755,263.427,261.899,265.965,272.008,275.873,275.609,273.161,273.937,272.087,269.771,269.003
1,Utilities and public transportation,215.708,216.95,214.482,215.176,216.927,219.122,218.308,217.301,217.15,215.443,215.239,214.951,215.276,217.061,216.906,216.712,218.105,219.554,218.686,218.312,217.562,216.596,215.39,215.975,216.114,216.505,216.735,216.953,218.195,219.709,219.139,218.69,218.639,218.527,218.568,217.864,219.206,219.886,216.968,214.801,214.913,216.77,218.783,218.326,219.656,220.322,221.306,220.601,220.629,221.675,222.081,225.076,228.265,231.273,231.239,229.805,229.568,231.301,231.88,231.516,235.419,236.442,238.961,244.061,250.991,256.396,254.496,254.797,255.82,254.295,254.051,254.138,258.227,257.578,255.43,254.346,253.643,254.447,253.149,253.166,253.337,252.91,253.803,253.458,257.042,259.117,259.761,259.89,260.241,260.818,259.002,258.017,259.374,260.452
1,Household furnishings and operations,121.43,121.508,121.548,121.322,121.234,121.025,120.526,120.236,120.014,120.237,119.733,119.778,120.834,121.376,121.484,122.031,121.571,121.408,121.48,121.138,121.39,122.038,121.778,122.265,123.334,123.75,123.746,123.345,123.344,124.237,124.361,123.818,124.183,124.256,123.733,123.462,124.151,124.636,124.469,124.961,125.373,125.997,126.269,126.974,126.965,126.821,127.134,127.367,127.716,127.935,128.35,129.321,131.086,131.131,131.024,132.076,133.462,134.745,135.345,136.787,139.162,140.306,141.358,142.11,142.736,143.586,144.291,145.11,145.912,146.101,145.568,145.972,147.352,148.826,149.23,149.65,148.667,148.702,148.453,148.295,148.7,148.558,147.19,146.6,147.673,147.915,148.038,147.173,146.719,147.583,147.788,147.348,147.906,147.72
1,Other goods and services,427.621,427.992,428.336,432.175,431.911,433.121,434.033,433.328,434.057,436.252,436.352,435.831,437.687,438.306,439.269,442.553,442.71,442.851,443.17,442.934,443.409,444.334,445.48,445.059,446,448.15,448.471,448.658,449.896,449.345,451.709,453.074,453.193,455.225,456.262,455.413,458.336,460.144,461.495,461.294,460.73,462.149,463.712,462.847,463.656,463.919,464.211,466.332,467.995,469.886,472.607,473.649,473.011,473.718,477.103,479.048,479.525,483.592,484.683,487.131,490.856,496.045,498.538,500.673,502.966,505.312,507.204,510.892,512.565,514.958,518.668,518.088,521.433,526.196,528.811,533.706,536.518,537.386,537.926,540.27,543.35,546.825,547.96,546.784,551.14,551.15,553.666,556.486,556.772,559.708,560.655,561.561,562.638,564.839
2,Personal care,226.017,226.263,226.301,226.557,226.37,227.018,227.509,227.105,227.454,227.947,227.997,227.736,228.771,229.218,230.011,231.585,231.533,231.603,231.655,231.433,231.694,231.401,232.024,231.818,232.227,233.515,232.888,232.902,233.542,233.136,234.077,234.749,234.603,235.578,235.797,235.31,237.024,237.978,238.175,238.181,237.997,238.444,238.852,238.184,238.535,238.6,238.477,239.497,239.535,240.366,241.735,242.303,241.814,241.907,243.789,244.968,244.84,246.307,246.445,247.561,249.954,252.862,254.111,255.213,256.147,257.287,258.315,259.954,260.886,262.193,264.117,263.813,265.504,267.871,269.047,272.037,273.439,273.929,273.964,275.026,276.813,277.802,277.785,277.089,279.606,279.122,280.425,282.151,281.294,282.807,283.296,283.08,283.738,284.734
